"cluster","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","predicted_cell_type"
"0",0,3.13223611562958,0.227,0.031,0,"FERMT3","CD8+ T-cells"
"0",0,2.84543341860189,0.236,0.042,0,"GNG2","CD8+ T-cells"
"0",0,3.28341261448184,0.216,0.023,0,"TIGIT","CD8+ T-cells"
"0",0,2.46795649856101,0.287,0.094,0,"SOCS1","CD8+ T-cells"
"0",0,2.4636832707682,0.279,0.088,0,"ETS1","CD8+ T-cells"
"0",0,3.53639008272517,0.21,0.019,0,"ITK","CD8+ T-cells"
"0",0,2.67870204631351,0.319,0.128,0,"HLA-DQB1","CD8+ T-cells"
"0",0,2.22298185523514,0.299,0.11,0,"ARHGEF1","CD8+ T-cells"
"0",0,1.7792163303649,0.327,0.139,0,"CLEC2B","CD8+ T-cells"
"0",0,1.91228525789966,0.416,0.228,0,"LEPROTL1","CD8+ T-cells"
"0",0,2.37578718096024,0.268,0.081,0,"CARD16","CD8+ T-cells"
"0",0,1.56202161353746,0.316,0.13,0,"LBH","CD8+ T-cells"
"0",0,2.0692574254934,0.301,0.115,0,"PSMB10","CD8+ T-cells"
"0",0,3.06726650505098,0.22,0.034,0,"FMNL1","CD8+ T-cells"
"0",0,3.21188026374058,0.21,0.025,0,"TMC8","CD8+ T-cells"
"0",0,3.03685169244319,0.217,0.033,0,"RASSF5","CD8+ T-cells"
"0",0,3.25374234268383,0.211,0.028,0,"SH2D2A","CD8+ T-cells"
"0",0,2.06616147763633,0.288,0.105,0,"ARL4C","CD8+ T-cells"
"0",0,1.06155202585484,0.527,0.345,0,"LDHB","CD8+ T-cells"
"0",0,2.95858452398686,0.214,0.032,0,"ITGA4","CD8+ T-cells"
"0",0,3.15769981039944,0.211,0.029,0,"NCF1","CD8+ T-cells"
"0",0,3.04562032258842,0.212,0.031,0,"IKZF3","CD8+ T-cells"
"0",0,1.95610845242039,0.277,0.097,0,"GLIPR1","CD8+ T-cells"
"0",0,2.3887517992577,0.26,0.08,0,"CSK","CD8+ T-cells"
"0",0,2.36451588380759,0.266,0.087,0,"RESF1","CD8+ T-cells"
"0",0,1.65975920977692,0.816,0.637,0,"SH3BGRL3","CD8+ T-cells"
"0",0,3.37866207324937,0.196,0.019,0,"PSTPIP1","CD8+ T-cells"
"0",0,3.44360661307967,0.197,0.02,0,"CCR7","CD8+ T-cells"
"0",0,3.10373120523669,0.214,0.038,0,"PTGER4","CD8+ T-cells"
"0",0,2.74660431184826,0.233,0.058,0,"FCMR","CD8+ T-cells"
"0",0,3.13066128239641,0.197,0.023,0,"IL2RB","CD8+ T-cells"
"0",0,2.68191394453941,0.217,0.043,0,"ANKRD44","CD8+ T-cells"
"0",0,2.84872423692227,0.219,0.045,0,"OXNAD1","CD8+ T-cells"
"0",0,2.32889697068414,0.254,0.081,0,"RGS2","CD8+ T-cells"
"0",0,1.16739194026091,0.496,0.323,0,"IFITM1","CD8+ T-cells"
"0",0,2.02317635254603,0.319,0.147,0,"TUBA4A","CD8+ T-cells"
"0",0,3.36940511297021,0.196,0.024,0,"RASAL3","CD8+ T-cells"
"0",0,2.91112707828439,0.206,0.034,0,"ARHGAP4","CD8+ T-cells"
"0",0,2.65178981138674,0.235,0.065,0,"ARRB2","CD8+ T-cells"
"0",0,2.7777545325029,0.218,0.049,0,"AKNA","CD8+ T-cells"
"0",0,1.82206819617416,0.679,0.511,0,"SARAF","CD8+ T-cells"
"0",0,2.89399276529446,0.2,0.033,0,"GBP5","CD8+ T-cells"
"0",0,1.87589826767653,0.332,0.165,0,"RHOG","CD8+ T-cells"
"0",0,2.54168964354767,0.229,0.062,0,"PTPN6","CD8+ T-cells"
"0",0,1.49375518950261,0.408,0.241,0,"MBNL1","CD8+ T-cells"
"0",0,0.522023435543438,0.311,0.478,0,"HSPA1B","CD8+ T-cells"
"0",0,3.21172449622991,0.186,0.02,0,"SH2D1A","CD8+ T-cells"
"0",0,2.43764828199706,0.231,0.066,0,"PRKCH","CD8+ T-cells"
"0",0,2.28498321291613,0.286,0.121,0,"HLA-DRB5","CD8+ T-cells"
"0",0,1.40134883588816,0.388,0.224,0,"CNN2","CD8+ T-cells"
"0",0,3.68424209828097,0.179,0.015,0,"CD5","CD8+ T-cells"
"0",0,1.83239084916313,0.313,0.15,0,"FNBP1","CD8+ T-cells"
"0",0,1.5561023272934,0.347,0.184,0,"CTSC","CD8+ T-cells"
"0",0,0.816130103639959,0.421,0.258,0,"GABARAP","CD8+ T-cells"
"0",0,2.60871510689786,0.213,0.051,0,"ARHGAP30","CD8+ T-cells"
"0",0,3.50379071676154,0.183,0.021,0,"CD8B","CD8+ T-cells"
"0",0,2.34215404450802,0.231,0.069,0,"BIN1","CD8+ T-cells"
"0",0,1.91515556873087,0.315,0.153,0,"CCND3","CD8+ T-cells"
"0",0,1.68834398763107,0.94,0.778,0,"HLA-B","CD8+ T-cells"
"0",0,3.15848969321906,0.181,0.022,0,"EVI2B","CD8+ T-cells"
"0",0,0.606632885181307,0.217,0.375,0,"GRN","CD8+ T-cells"
"0",0,3.38979655563262,0.175,0.019,0,"CAMK4","CD8+ T-cells"
"0",0,2.62801980887643,0.211,0.055,0,"PRDM1","CD8+ T-cells"
"0",0,1.44651141022728,0.39,0.234,0,"MSN","CD8+ T-cells"
"0",0,1.87252988040546,0.269,0.114,0,"MBP","CD8+ T-cells"
"0",0,1.316679505022,0.549,0.395,0,"CD44","CD8+ T-cells"
"0",0,3.06826872509697,0.175,0.021,0,"PRF1","CD8+ T-cells"
"0",0,3.07132073119034,0.177,0.023,0,"GPR65","CD8+ T-cells"
"0",0,3.04115942354673,0.178,0.025,0,"CD84","CD8+ T-cells"
"0",0,2.58286450031745,0.21,0.057,0,"PIM2","CD8+ T-cells"
"0",0,3.45873804612927,0.167,0.015,0,"TRAT1","CD8+ T-cells"
"0",0,1.90669233278337,0.256,0.104,0,"TRIM22","CD8+ T-cells"
"0",0,2.28727015448965,0.24,0.088,0,"DENND2D","CD8+ T-cells"
"0",0,3.20399792149728,0.17,0.02,0,"KLRB1","CD8+ T-cells"
"0",0,3.11603900047774,0.198,0.048,0,"TYROBP","CD8+ T-cells"
"0",0,1.59726430298776,0.396,0.246,0,"ELF1","CD8+ T-cells"
"0",0,1.71898647223296,0.323,0.174,0,"NR3C1","CD8+ T-cells"
"0",0,1.72621043788815,0.326,0.177,0,"SMCHD1","CD8+ T-cells"
